close,﻿"닫기"
Product,﻿"상품"
"-- Please Select --",﻿"--선택 하세요--"
"Sort Order",﻿"순서"
None,﻿"없음"
label,﻿"label"
"Save and Continue Edit",﻿"저장 하 고 계속 편집 합니다."
"Frontend Properties",﻿"프런트 엔드 속성"
Type,﻿"유형"
Categories,﻿"범주"
Products,﻿"상품"
All,﻿"모든"
Apply,﻿"반영"
Conditions,﻿"조건"
name,﻿"name"
Continue,﻿"계속"
CMS,﻿"CMS"
"Design Theme",﻿"디자인 테마"
Settings,﻿"설정"
%1,﻿"%1"
Template,﻿"서식 파일"
"Open Chooser",﻿"선택 열기"
"Orders and Returns",﻿"주문 및 반품"
Page,﻿"페이지"
"Widget Insertion",﻿"위젯 삽입"
"Insert Widget",﻿"위젯 삽입"
Choose...,﻿"선택 하십시오 ..."
"Not Selected",﻿"선택 되어 있지 않습니다."
Widget,﻿"위젯"
"Widget Type",﻿"위젯 종류"
"Manage Widget Instances",﻿"위젯의 인스턴스 관리"
"Add New Widget Instance",﻿"새로운 위젯 인스턴스 추가"
"Widget ""%1""",﻿"위젯 ""%1"""
"New Widget Instance",﻿"새로운 위젯 인스턴스"
"Custom Layouts",﻿"사용자 지정 레이아웃"
"Page Layouts",﻿"페이지 레이아웃"
"Please Select Container First",﻿"컨테이너를 선택 하십시오"
"Design Package/Theme",﻿"디자인 패키지/테마"
"Widget Instance Title",﻿"위젯의 인스턴스 제목"
"Assign to Store Views",﻿"상점 뷰 게이트에"
"Sort Order of widget instances in the same container",﻿"같은 컨테이너 위젯 인스턴스의 순서 정렬"
"Layout Updates",﻿"레이아웃 업데이트"
"Anchor Categories",﻿"카테고리의 닻"
"Non-Anchor Categories",﻿"앵커 아니 카테고리"
"All Product Types",﻿"모든 제품 종류"
"Generic Pages",﻿"일반 페이지"
"All Pages",﻿"전체 페이지"
"Specified Page",﻿"특정 페이지"
"Add Layout Update",﻿"레이아웃 업데이트 추가"
"Remove Layout Update",﻿"레이아웃 업데이트 제거"
"Widget Options",﻿"위젯 옵션"
"Widget Instance",﻿"위젯의 인스턴스"
"Please specify a Widget Type.",﻿"위젯 종류를 지정 하십시오."
"Please specify a correct widget.",﻿"올바른 장치를 지정 하십시오."
"The widget instance has been deleted.",﻿"위젯을 삭제 했습니다."
"New Frontend App Instance",﻿"새 프런트 엔드 응용 프로그램 인스턴스"
"Frontend Apps",﻿"프런트 엔드 응용 프로그램"
"The widget instance has been saved.",﻿"위젯을 저장 했습니다."
"We cannot create the widget instance because it is missing required information.",﻿"필수 정보를 알 때문에 위젯 인스턴스를 만들 수 없습니다."
Container,﻿"포장"
"Specific %1",﻿"자세한 내용은 %1"
"Anchor Custom Title",﻿"앵커 사용자 지정 제목"
"CMS Page Link Block Template",﻿"CMS 페이지 링크 블록 템플릿"
"CMS Page Link Inline Template",﻿"CMS 페이지 인라인 링크 서식 파일"
"Orders and Returns Search Form",﻿"주문 및 반품 검색 폼"
"Display a Link to Loading a Spreadsheet",﻿"링크를 읽기를 통하여 스프레드시트에 표시"
"Defines whether a link to My Account",﻿"내 계정에 대 한 링크를 정의 해야 하는지 여부"
"Link Text",﻿"링크 텍스트"
"The text of the link to the My Account &gt; Order by SKU page",﻿"내 계정에 대 한 링크의 텍스트 &gt; SKU 페이지 순서"
"Load a list of SKUs",﻿"SKU의 목록을 로드"
"Widget ID",﻿"위젯 ID"
Quantity,﻿"수량"
Back,﻿"돌아가기"
Delete,﻿"삭제"
Enabled,﻿"사용"
"We can't add this item to your cart right now.",﻿"현재이 상품을 장바구니에 추가 수 없습니다"
"* Required Fields",﻿"* 필수 항목"
Availability,﻿"재고 없음"
"In stock",﻿"재고 없음"
"Out of stock",﻿"품절"
Qty,﻿"개수"
"Product Name",﻿"제품 이름"
Edit,﻿"편집"
"1 item",﻿"1 상품"
"%1 items",﻿"%1 제품"
message,﻿"메시지"
Action,﻿"동작"
"Add to Cart",﻿"장바구니에 담기"
"Add to Wish List",﻿"원하는 목록에 추가"
"Remove This Item",﻿"이 제품을 제거 하려면"
"Add to Compare",﻿"비교 목록에 추가"
"You added %1 to your shopping cart.",﻿"%1를 장바구니에 추가 했습니다."
"Page not found.",﻿"페이지를 찾을 수 없습니다."
"The product does not exist.",﻿"상품을 찾을 수 없습니다."
"Display item quantities",﻿"상품 견적 보기"
Message,﻿"메시지"
"Remove item",﻿"물건을 제거"
Configure,﻿"구성"
"Add Locale",﻿"로케일 추가"
"Add Date",﻿"날짜 추가"
"Days in Wish List",﻿"위시 리스트에서 날짜"
"Are you sure you want to remove this item?",﻿"이 항목을 삭제 하 시겠습니까?"
"Test Phrase",﻿"테스트 단계"
